Station ID,Elevation in feet,Northing Y in feet,Easting X in feet,Link to PDF Diagram,Location
52A,777.4,1254908.35,1000107.01,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/52A.pdf,"(40.11253396480, -88.27663951580)"
53,716.6,1247390.14,989568.2,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/53.pdf,"(40.09190792960, -88.31432482960)"
54,778.5,1254914.88,1005304.35,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/54.pdf,"(40.11254130400, -88.25805737780)"
55,716.5,1247087.72,994892.09,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/55.pdf,"(40.09107306500, -88.29529645360)"
55A,739.4,1256325.7,1008471.68,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/55A.pdf,"(40.11640624110, -88.24672827090)"
57,723.7,1247233.86,1000202.11,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/57.pdf,"(40.09146644990, -88.27631709190)"
59,736.5,1247223.22,1005419.43,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/59.pdf,"(40.09142656220, -88.25766932390)"
60,759.5,1249664.65,1005425.75,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/60.pdf,"(40.09812855640, -88.25763931010)"
61,753.4,1247035.42,1010901.43,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/61.pdf,"(40.09089657370, -88.23807624090)"
61A,727.7,1252594,997516.67,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/61A.pdf,"(40.10618498090, -88.28590520870)"
62,708.4,1244596.07,987433,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/62.pdf,"(40.08423886840, -88.32195781570)"
63,723.3,1244511.31,991716.07,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/63.pdf,"(40.08400367730, -88.30665092110)"
63A,785.8,1252977.92,1003930.79,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/63A.pdf,"(40.10722722480, -88.26297376420)"
64,736.7,1244425.49,997561.47,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/64.pdf,"(40.08376139550, -88.28576066570)"
64A,771.7,1252961.44,1005949.74,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/64A.pdf,"(40.10717737590, -88.25575599890)"
65,712.1,1249848.45,986993.39,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/65.pdf,"(40.09865742580, -88.32352684030)"
66,722.3,1244439.51,1008390.47,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/66.pdf,"(40.08377752440, -88.24705985830)"
67,704.9,1241891.26,989687.37,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/67.pdf,"(40.07681275510, -88.31390317970)"
68,737.8,1244488.28,994925.83,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/68.pdf,"(40.08393724700, -88.29517984450)"
69,746.8,1241852.02,994920.37,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/69.pdf,"(40.07670039070, -88.29520339450)"
69A,720.8,1249767.28,997836.05,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/69A.pdf,"(40.09842483920, -88.28476894840)"
70,725.1,1249628.7,1000184.51,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/70.pdf,"(40.09804059730, -88.27637451760)"
70A,744,1241788.25,997730.5,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/70A.pdf,"(40.07652159370, -88.28516168670)"
71,735.2,1242102.96,1000208.1,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/71.pdf,"(40.07738149240, -88.27630743550)"
72,725.4,1244405.56,1000200.34,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/72.pdf,"(40.08370242840, -88.27632989480)"
73,739.9,1242198.62,1005473.17,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/73.pdf,"(40.07763330160, -88.25749255300)"
74,739.2,1244389.51,1002835.95,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/74.pdf,"(40.08365335130, -88.26691078140)"
76,789.1,1265685.79,994733.94,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/76.pdf,"(40.14212695210, -88.29583367910)"
77,780.8,1262801.45,994786.29,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/77.pdf,"(40.13420909730, -88.29565080420)"
78,756.1,1260395.57,994787.59,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/78.pdf,"(40.12760471280, -88.29564980240)"
79A,722.7,1247201.91,998094.5,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/79A.pdf,"(40.09138220620, -88.28385020000)"
79B,719.3,1247219.96,996383.95,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/79B.pdf,"(40.09143420600, -88.28996402960)"
80,720,1268348.44,984151.19,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/80.pdf,"(40.14944224850, -88.33368680140)"
81,715.2,1265696.3,984143.4,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/81.pdf,"(40.14216187400, -88.33371462750)"
82,711.4,1260496.2,984195.9,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/82.pdf,"(40.12788708310, -88.33352680140)"
83,737.7,1246610.96,1008735.92,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/83.pdf,"(40.08973748740, -88.24581765370)"
84,704.4,1252535.99,984283.87,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/84.pdf,"(40.10603544710, -88.33321224890)"
85,704.8,1249882.4,984309.86,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/85.pdf,"(40.09875103750, -88.33311935810)"
86,704.2,1247230.31,984332.82,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/86.pdf,"(40.09147073630, -88.33303731700)"
87,703.8,1244576.17,984355.66,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/87.pdf,"(40.08418479840, -88.33295572220)"
88,703.6,1241928.83,984372.72,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/88.pdf,"(40.07691751810, -88.33289479920)"
89,698.8,1239285.25,984389.45,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/89.pdf,"(40.06966055040, -88.33283506830)"
90,701.1,1239244.73,989681.97,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/90.pdf,"(40.06954769300, -88.31392453870)"
91,718.2,1249780.6,994906.29,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/91.pdf,"(40.09846532150, -88.29524157890)"
92,743.3,1249590.51,1011404.05,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/92.pdf,"(40.09790909780, -88.23626982330)"
93,732.7,1244372.69,1005472.05,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/93.pdf,"(40.08360139350, -88.25748993380)"
94,716.6,1244243.05,1010938.79,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/94.pdf,"(40.08323107760, -88.23795340840)"
95,747,1260462.71,989478.72,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/95.pdf,"(40.12779364030, -88.31463482830)"
96,732.6,1255076.11,994845.81,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/96.pdf,"(40.11300216430, -88.29544970670)"
97,733.3,1260265.69,1010680.7,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/97.pdf,"(40.12721573990, -88.23881491310)"
98,738.6,1257711.99,1013502.78,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/98.pdf,"(40.12019690150, -88.22873367530)"
99,732.4,1256234.56,1013470.87,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/99.pdf,"(40.11614130720, -88.22885398370)"
100,738.1,1249862.65,989575.18,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/100.pdf,"(40.09869525750, -88.31429799050)"
101,722.6,1244556.99,989626.47,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/101.pdf,"(40.08413055400, -88.31411874580)"
102,699.5,1239246.06,987004.47,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/102.pdf,"(40.06955255180, -88.32349142580)"
118,706.5,1255124.03,984244.26,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/118.pdf,"(40.11313990550, -88.33335385580)"
119,722.1,1257485.09,984210.6,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/119.pdf,"(40.11962127080, -88.33347421540)"
121,713.6,1262872.63,984187.63,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/121.pdf,"(40.13441062400, -88.33355639730)"
122,718.7,1265713.07,986863,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/122.pdf,"(40.14220753280, -88.32398696990)"
123,749.1,1270926.62,1005274.77,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/123.pdf,"(40.15649515660, -88.25811469210)"
124,747.3,1268272.12,1005305.25,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/124.pdf,"(40.14920824810, -88.25801369650)"
125,734.4,1271447.3,1012974.17,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/125.pdf,"(40.15790329740, -88.23056704500)"
126,754.2,1239200.32,996606.32,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/126.pdf,"(40.06941899510, -88.28918345350)"
127,734.8,1239183.61,994965.67,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/127.pdf,"(40.06937520960, -88.29504561970)"
